address,Ensemble,IsolationForest,OneClassSVM,LOF,IsolationForest_score,tx_count,total_received,total_sent,net_balance_change,max_tx_size,avg_tx_size,unique_counterparties,tx_per_day,active_days,burstiness,high_value_ratio,counterparty_diversity,inflow_outflow_asymmetry,timing_entropy,velocity_hours,collateral_ratio,smart_contract_flag,degree,weighted_degree,clustering_coefficient,betweenness_centrality
addr_test1wpe5ghttuandwx2v5vukd8art24pj6g2fwtny64xl9dnp2cz7jgu0,1,1,1,1,0.1329957688717591,6,9.0,9.0,0.0,3.0,3.0,6,6.0,1,3644369.84,0.0,1.0,0.0,1.584962500721156,1.0,0.0,1,,,,
addr_test1wpeecpsjvtfu4uumvcpksn0fg3tje23y8jq8l2l4a8d7e8se7eryj,1,1,1,1,0.1166266081805027,4,6.0,6.0,0.0,3.0,3.0,6,4.0,1,4103174.2222222234,0.0,1.5,0.0,1.0,1.0,0.0,1,,,,
addr_test1wperr0p4kc9w7mwlf23037xq5wz3y8hmfntptv6jy56fmvq50espl,1,1,1,1,0.1416429024396636,6,9.0,9.0,0.0,3.0,3.0,6,6.0,1,4406466.64,0.0,1.0,0.0,1.584962500721156,1.0,0.0,1,,,,
addr_test1wpex0tw5j299xkwa0teknpzwlj4eqz62q5fjljyngwdvxlqw4eqmt,1,1,-1,1,0.099570115004388,4,6.0,6.0,0.0,3.0,3.0,6,4.0,1,4424331.555555556,0.0,1.5,0.0,1.0,1.0,0.0,1,,,,
addr_test1wpgexmeunzsykesf42d4eqet5yvzeap6trjnflxqtkcf66g0kpnxt,-1,-1,1,-1,-0.0195741447039961,140,0.0,4822.9762,-4822.9762,34.44983,34.44983,2,140.0,1,4369.574970239635,0.0,0.0142857142857142,-1.0,1.9806945621946903,,0.0,1,,,,
addr_test1wpjv7a9cse3k4pd44c0lc42yenmcyzaqtgr3rs9xu8l2v6sn24smp,1,1,1,1,0.1287949354570833,4,12.0,12.0,0.0,6.0,6.0,6,4.0,1,4111482.888888888,0.0,1.5,0.0,1.0,0.0,0.0,1,,,,
addr_test1wpmae9vv3d5757y6lgfy5z7qk9du8teqhvd7xl53ftuzmjcllkwrs,1,1,1,1,0.1409497600745977,26,39.0,39.0,0.0,3.0,3.0,6,26.0,1,178090.6496,0.0,0.2307692307692307,0.0,1.95006375643621,0.0,0.0,1,,,,
addr_test1wpmcnpr36xjk7exddlg3pcypc8u3hykvzjz0yjq2ldypjzs630u48,-1,-1,-1,-1,-0.2593762778508098,28,35205095.291142,35205095.291142,0.0,2514649.663653,2514649.663653,6,28.0,1,157933.9259259259,1.0,0.2142857142857142,0.0,1.9852281360342516,0.0,0.0,1,,,,
addr_test1wpr4hzrfgp3rj448fkw7qk2yjq5ymxyqt3mcdjkzz6vp55g3h542j,1,1,1,1,0.0859497700535829,4,60.0,60.0,0.0,3.0,3.0,6,4.0,1,456022.54437869845,0.0,1.5,0.0,1.0,1.0,0.0,1,,,,
addr_test1wpu3cx4qn4kcukgqmcwraqsxvrpyza4afnvty04jxseudfcnn9eke,1,1,1,1,0.1460166365582185,6,18.0,18.0,0.0,6.0,6.0,6,6.0,1,4335809.84,0.0,1.0,0.0,1.584962500721156,0.0,0.0,1,,,,
