address,tx_count,total_received,total_sent,max_tx_size,avg_tx_size,net_balance_change,unique_counterparties,tx_per_day,active_days,burstiness,collateral_ratio,smart_contract_flag,high_value_ratio,counterparty_diversity,inflow_outflow_asymmetry,timing_entropy,velocity_hours,IsolationForest,OneClassSVM,LOF,Ensemble,IsolationForest_score
addr_test1wpr4hzrfgp3rj448fkw7qk2yjq5ymxyqt3mcdjkzz6vp55g3h542j,4,60.0,60.0,3.0,3.0,0.0,6,4.0,1,456022.54437869845,0.0,1,0.0,1.5,0.0,1.0,1.0,1,1,1,1,0.08594977005358295
addr_test1wpu3cx4qn4kcukgqmcwraqsxvrpyza4afnvty04jxseudfcnn9eke,6,18.0,18.0,6.0,6.0,0.0,6,6.0,1,4335809.84,0.0,1,0.0,1.0,0.0,1.584962500721156,0.0,1,1,1,1,0.14601663655821856
addr_test1wpxs63au9yehzl8uhwkyjt84zhrf9slaflhhnvjtg7ukhks8sxm0t,28,42.0,42.0,3.0,3.0,0.0,6,28.0,1,142878.88340192044,0.0,1,0.0,0.2142857142857142,0.0,1.924174352300441,0.0,1,1,1,1,0.14776940873615596
addr_test1wq0fhqgpnxem4csqd4wqpewy39345zg9x7ve2wx5uh3c8zqtscmux,2,3.0,6.0,3.0,3.0,-3.0,6,2.0,1,702.25,0.0,1,0.0,3.0,-0.3333333333333333,-0.0,,1,1,1,1,0.08737758745700869
addr_test1wq2wz32lpptwv8u4lmprhjxzp5d5ytawg9du286tfj3t9rsz7rh20,6,9.0,18.0,3.0,3.0,-9.0,6,6.0,1,3485902.4375,0.0,1,0.0,1.0,-0.3333333333333333,1.584962500721156,1.0,1,1,1,1,0.12335134586433316
addr_test1wq4xzlt0pv9dnc6zqpn46fksmqwkj9v5zqpezcr4e53d96q5d66g4,6,36.0,36.0,3.0,3.0,0.0,6,6.0,1,1479902.4877126657,0.0,1,0.0,1.0,0.0,1.584962500721156,1.0,1,1,1,1,0.11046068795364666
addr_test1wq56fh9yhketc88zpc9z4ca3k8wdv0yr5hjezw6lgauuttc8786r9,2,6.0,6.0,6.0,6.0,0.0,6,2.0,1,0.0,0.0,1,0.0,3.0,0.0,-0.0,0.0,1,1,1,1,0.097107926054881
addr_test1wq5ue9d95z4cjhs4msf8vd54fa4xz7y90xjh3vq9u7nce0c35xlrs,2,3.0,3.0,3.0,3.0,0.0,6,2.0,1,0.0,0.0,1,0.0,3.0,0.0,-0.0,,1,1,1,1,0.10598355940165272
addr_test1wq6mp7qks38uptyzxxtlk0pth8mnmyp3h7je6fsxva47qgs2h0a28,4,5.0,15.0,5.0,5.0,-10.0,3,4.0,1,144089.5555555556,0.0,1,0.0,0.75,-0.5,-0.0,0.0,1,1,1,1,0.13070998775782544
addr_test1wq8xga0gmzpcm8v3q2l4s5fmx5u0eur8fdz7dvqhldz0lng249f0d,147,1991.4355,2013.30875,1.63349,1.5967879784688996,-21.8732500000001,9,147.0,1,633.8137023275394,0.0,1,0.0,0.0612244897959183,-0.0054618344230096,1.983738310338233,0.0,-1,-1,-1,-1,-0.007824858232586718
addr_test1wq9ry3j4j3nuq788xamnkkmsnkv8pp4umnz7gxcv4746puc3uj3ce,6,9.0,9.0,3.0,3.0,0.0,6,6.0,1,3644369.84,0.0,1,0.0,1.0,0.0,1.584962500721156,1.0,1,1,1,1,0.13299576887175912
