address,date,daily_received,daily_sent,daily_net,daily_max_out,daily_max_in,daily_max_tx,rolling_avg_tx_size,rolling_tx_frequency,rolling_net,top_counterparties,top_counterparty_count
addr_test1qrxjgv6u2dn33nejvwxfmnqcwq9nezrpw56e9a9um4zcz84mkp0e9hzqmp3aslsvqnp5jdjdth9pz0qqxap2q696v97qsp850d,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qryvvl7una3saemqjdwu22y99vuhzhr7xw2xttcvpyq6hnjuc56up2uxzajkkhdemkjdnt0yn5g7wx3va69zw4lxeuhsp8q3dl,2025-11-29,11.0,0.0,11.0,5.0,,5.0,0.0,0.0,0.0,addr_test1qqm56vjt0wa9xj2r5hye682ps9gz3ksw75cv45fdmhktpkfffsx09epxg2f586qkf0znd963phxjs2ja9849kh8d0xnsc7mp78,4
addr_test1qz26nc7324hlhh06h80nfwcytjtu564uqtm6u8nh3p4t5988dh9fenf62rjattemwj6a6qhjge9wjsux6nu070azylaqqws8mq,2025-11-29,14074.461647,14774.798632999999,-700.3369859999984,7237.31507,7537.483563,7537.483563,0.0,0.0,0.0,addr_test1qqxnkqmvh6akr6jujzhw2mtf4uzf5n4a5p2drl5ha4hxqdw4pfgmdkjmu2z0rlxept3rfnha98xrmyf7v2vy5dal07wst360ex,2
addr_test1qz49hkts3ryrep28q56chcl0na2q2qzy54ln0ulsw37lhzy6628j0jzrkxqq4py3s8d7tuu9klkhakcfnrwrpcredgasp674m6,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
addr_test1qz4jwtndvlxv4w6tyr24fla9luhnnsd0mlt5g9t3e4zx7wf92cnwrt0frm05f274wrdfhee4f250tk30qupudnf9nvhqmnh7cn,2025-11-29,841.245524,851.420793,-10.175268999999957,841.245524,851.420793,851.420793,0.0,0.0,0.0,addr_test1wrumn0zm9c858kghqrzjhhv555rgzt9hzje3sksh2e7ggaqewfxd4,1
addr_test1qz58xfza4s7qm2agzqghk5ahkr76ectl5ah3kyvnxnewkkw5cdds9sxqtxh5pll747354mwjnlsn3wkcrtccu0056n8s7wl96f,2025-11-29,1.14646,0.0,1.14646,1.14646,,1.14646,0.0,0.0,0.0,"addr_test1qqkxdt3sav4cz3r5xnrsstlxzlhuzhvyd2qm6wxz0gd63ee77fl6k08e6egytyweyv8w6al94rphdc47mrdzent8gazsykeyrk,addr_test1wru93xpnc6v2svsq79kyyegj0mv4mdl83sdtp8dgtu9y78smvhuhs",1
addr_test1qz9jfhecgrlw4yw8wknddnnpw2ah0t3n967zz9ffrssl3pdct9f58ux0fyazdlzgl3vuua05dcqnengw4vm6n0cxl4fq47fdde,2025-11-29,6.8527569999999995,10.0,-3.1472430000000005,4.472503,5.0,5.0,0.0,0.0,0.0,"addr_test1zpt24v32hpd88w3l0wmwg3mhs9lm5dzrnn0d22n6seznmjy9rk398gms2eh8snp58c9skehndz9ps8ff5rfns7mfafnqf5lz9g,addr_test1qq50sks40pnh5tkth68m3lrvzvlepaew6prl3u8u69nd3zu9rk398gms2eh8snp58c9skehndz9ps8ff5rfns7mfafnqt4qk0e",1
addr_test1qz9z9ulm4z5nqvmz0g9qs6hv7z6zqgz8fla6ggvkqxkv9et6jn2qx8lw5ag55yd5z4d5ltw8ru4xflel9pfs9c09k2rs8zdpqk,2025-11-29,1000.0,0.0,1000.0,1000.0,,1000.0,0.0,0.0,0.0,addr_test1qrrhnm2qjzlj3tjxugjutm46dn2urfrwjhk6t6x70m5lg9tx2u29lwmh79hdqadrshxp2akncef7yd85fhdnrx89n83sd337nr,1
addr_test1qzjlvcktfaxlwkc2vjw88mvxdm8dreejklxe34dea64efkal3yq6fxf0xa3nyxfrjcszcddjcyc8fv6q4dj2hxhed9kssca2ee,2025-11-29,345.0,0.0,345.0,321.0,,321.0,0.0,0.0,0.0,addr_test1qpfpxx2m56u7td8duem6kkcdw25kfyd0jcv7g7hwup797p5d0v7l822u4xea8zty37320uz3nwdl88agexcj9n7s986q5j40uk,3
addr_test1qzkgz6nnr7na88fjuj2t7meyuvr5dtjt459e0ltc72z9p0tcjnf37v8r0z0vkrf0h76vlvxa2464k8cjpzekewlk7ppqjl46kp,2025-11-29,10000.0,0.0,10000.0,10000.0,,10000.0,0.0,0.0,0.0,addr_test1vqeux7xwusdju9dvsj8h7mca9aup2k439kfmwy773xxc2hcu7zy99,1
